NAME,TIME,UNDERNOURISHED
BLZ,2014,0.05
BLZ,2015,0.05
BLZ,2016,0.05
BLZ,2017,0.05
BLZ,2018,0.05
BLZ,2019,0.05
BLZ,2020,0.05
BLZ,2021,0.05
BEN,2014,0.9
BEN,2015,0.9
BEN,2016,1
BEN,2017,1.1
BEN,2018,1.2
BEN,2019,1.3
BEN,2020,1.3
BEN,2021,1.3
BMU,2014,0
BMU,2015,0
BMU,2016,0
BMU,2017,0
BMU,2018,0
BMU,2019,0
BMU,2020,0
BMU,2021,0
BTN,2014,0
BTN,2015,0
BTN,2016,0
BTN,2017,0
BTN,2018,0
BTN,2019,0
BTN,2020,0
BTN,2021,0
BOL,2014,1.9
BOL,2015,1.8
BOL,2016,1.7
BOL,2017,1.6
BOL,2018,1.6
BOL,2019,1.6
BOL,2020,1.9
BOL,2021,2.3
BIH,2014,0
BIH,2015,0
BIH,2016,0
BIH,2017,0
BIH,2018,0
BIH,2019,0
BIH,2020,0
BIH,2021,0
BWA,2014,0.5
BWA,2015,0.6
BWA,2016,0.6
BWA,2017,0.6
BWA,2018,0.6
BWA,2019,0.7
BWA,2020,0.6
BWA,2021,0.6
BRA,2014,5.2
BRA,2015,0
BRA,2016,0
BRA,2017,0
BRA,2018,0
BRA,2019,0
BRA,2020,7.8
BRA,2021,10.1
BRN,2014,0
BRN,2015,0
BRN,2016,0
BRN,2017,0
BRN,2018,0
BRN,2019,0
BRN,2020,0
BRN,2021,0
BGR,2014,0.3
BGR,2015,0.3
BGR,2016,0.3
BGR,2017,0.2
BGR,2018,0.2
BGR,2019,0.2
BGR,2020,0.2
BGR,2021,0
BFA,2014,2.4
BFA,2015,2.5
BFA,2016,2.6
BFA,2017,2.7
BFA,2018,2.9
BFA,2019,3.1
BFA,2020,3.3
BFA,2021,3.6
BDI,2014,0
BDI,2015,0
BDI,2016,0
BDI,2017,0
BDI,2018,0
BDI,2019,0
BDI,2020,0
BDI,2021,0
CPV,2014,0.1
CPV,2015,0.1
CPV,2016,0.1
CPV,2017,0.1
CPV,2018,0.1
CPV,2019,0.1
CPV,2020,0.1
CPV,2021,0.1
KHM,2014,1.1
KHM,2015,1.1
KHM,2016,1
KHM,2017,0.9
KHM,2018,0.8
KHM,2019,0.7
KHM,2020,0.8
KHM,2021,0.8
CMR,2014,0.9
CMR,2015,1
CMR,2016,1.2
CMR,2017,1.4
CMR,2018,1.5
CMR,2019,1.5
CMR,2020,1.5
CMR,2021,1.7
CAN,2014,0
CAN,2015,0
CAN,2016,0
CAN,2017,0
CAN,2018,0
CAN,2019,0
CAN,2020,0
CAN,2021,0
CAF,2014,2.3
CAF,2015,2.4
CAF,2016,2.4
CAF,2017,2.3
CAF,2018,2.3
CAF,2019,2.3
CAF,2020,2.4
CAF,2021,2.7
TCD,2014,3.5
TCD,2015,3.7
TCD,2016,3.8
TCD,2017,3.9
TCD,2018,4.2
TCD,2019,4.5
TCD,2020,5
TCD,2021,5.4
CHL,2014,0.6
CHL,2015,0.6
CHL,2016,0.6
CHL,2017,0.5
CHL,2018,0.5
CHL,2019,0.5
CHL,2020,0
CHL,2021,0.5
CHN,2014,0
CHN,2015,0
CHN,2016,0
CHN,2017,0
CHN,2018,0
CHN,2019,0
CHN,2020,0
CHN,2021,0
HKG,2014,0
HKG,2015,0
HKG,2016,0
HKG,2017,0
HKG,2018,0
HKG,2019,0
HKG,2020,0
HKG,2021,0
MAC,2014,0.05
MAC,2015,0.05
MAC,2016,0.05
MAC,2017,0.05
MAC,2018,0.05
MAC,2019,0.05
MAC,2020,0.05
MAC,2021,0.05
CHN,2014,0
