NAME,TIME,STABILITY
HUN,2017,0.81
HUN,2018,0.75
HUN,2019,0.77
HUN,2020,0.84
HUN,2021,0.86
ISL,2014,1.25
ISL,2015,1.31
ISL,2016,1.36
ISL,2017,1.35
ISL,2018,1.41
ISL,2019,1.64
ISL,2020,1.38
ISL,2021,1.37
IND,2014,-1
IND,2015,-0.95
IND,2016,-0.95
IND,2017,-0.76
IND,2018,-0.99
IND,2019,-0.77
IND,2020,-0.81
IND,2021,-0.62
IDN,2014,-0.42
IDN,2015,-0.62
IDN,2016,-0.37
IDN,2017,-0.5
IDN,2018,-0.55
IDN,2019,-0.49
IDN,2020,-0.45
IDN,2021,-0.51
IRN,2014,-0.87
IRN,2015,-0.93
IRN,2016,-0.81
IRN,2017,-0.93
IRN,2018,-1.35
IRN,2019,-1.71
IRN,2020,-1.7
IRN,2021,-1.62
IRQ,2014,-2.48
IRQ,2015,-2.26
IRQ,2016,-2.31
IRQ,2017,-2.31
IRQ,2018,-2.53
IRQ,2019,-2.6
IRQ,2020,-2.46
IRQ,2021,-2.4
IRL,2014,1.05
IRL,2015,0.91
IRL,2016,0.85
IRL,2017,1
IRL,2018,1.02
IRL,2019,0.97
IRL,2020,0.98
IRL,2021,0.86
ISR,2014,-1.04
ISR,2015,-1.09
ISR,2016,-0.79
ISR,2017,-0.89
ISR,2018,-0.91
ISR,2019,-0.79
ISR,2020,-0.85
ISR,2021,-1.06
ITA,2014,0.46
ITA,2015,0.38
ITA,2016,0.37
ITA,2017,0.31
ITA,2018,0.34
ITA,2019,0.4
ITA,2020,0.43
ITA,2021,0.58
JAM,2014,0.02
JAM,2015,0.1
JAM,2016,0.31
JAM,2017,0.31
JAM,2018,0.43
JAM,2019,0.4
JAM,2020,0.26
JAM,2021,0.22
JPN,2014,0.97
JPN,2015,1.07
JPN,2016,0.98
JPN,2017,1.11
JPN,2018,1.05
JPN,2019,1.03
JPN,2020,1.04
JPN,2021,1.03
JOR,2014,-0.54
JOR,2015,-0.61
JOR,2016,-0.49
JOR,2017,-0.45
JOR,2018,-0.39
JOR,2019,-0.26
JOR,2020,-0.27
JOR,2021,-0.28
KAZ,2014,0.04
KAZ,2015,-0.04
KAZ,2016,0.01
KAZ,2017,0.03
KAZ,2018,-0.05
KAZ,2019,-0.17
KAZ,2020,-0.26
KAZ,2021,-0.25
KEN,2014,-1.28
KEN,2015,-1.24
KEN,2016,-1.35
KEN,2017,-1.13
KEN,2018,-1.18
KEN,2019,-1.1
KEN,2020,-1
KEN,2021,-1.09
KIR,2014,0.8
KIR,2015,0.84
KIR,2016,0.87
KIR,2017,0.88
KIR,2018,1.02
KIR,2019,1.13
KIR,2020,1.09
KIR,2021,1.19
KWT,2014,0.15
KWT,2015,-0.21
KWT,2016,-0.05
KWT,2017,-0.05
KWT,2018,0.1
KWT,2019,0.19
KWT,2020,0.25
KWT,2021,0.3
KGZ,2014,-0.8
KGZ,2015,-0.88
KGZ,2016,-0.65
KGZ,2017,-0.38
KGZ,2018,-0.54
KGZ,2019,-0.24
KGZ,2020,-0.46
KGZ,2021,-0.43
LAO,2014,0.5
LAO,2015,0.54
LAO,2016,0.53
LAO,2017,0.4
LAO,2018,0.41
LAO,2019,0.52
LAO,2020,0.68
LAO,2021,0.73
LVA,2014,0.49
LVA,2015,0.44
LVA,2016,0.48
LVA,2017,0.46
LVA,2018,0.41
LVA,2019,0.44
LVA,2020,0.47
LVA,2021,0.69
LBN,2014,-1.7
LBN,2015,-1.7
LBN,2016,-1.62
LBN,2017,-1.63
LBN,2018,-1.63
LBN,2019,-1.67
LBN,2020,-1.62
LBN,2021,-1.49
LSO,2014,-0.33
LSO,2015,-0.31
LSO,2016,-0.24
LSO,2017,-0.19
LSO,2018,-0.18
LSO,2019,-0.42
LSO,2020,-0.25
LSO,2021,-0.22
LBR,2014,-0.62
LBR,2015,-0.82
LBR,2016,-0.44
LBR,2017,-0.33
LBR,2018,-0.21
LBR,2019,-0.33
LBR,2020,-0.37
LBR,2021,-0.24
LBY,2014,-2.35
LBY,2015,-2.2
LBY,2016,-2.28
LBY,2017,-2.36
LBY,2018,-2.44
LBY,2019,-2.57
LBY,2020,-2.46
LBY,2021,-2.37
LTU,2014,0.74
LTU,2015,0.76
LTU,2016,0.83
LTU,2017,0.78
LTU,2018,0.74
LTU,2019,0.78
LTU,2020,0.93
LTU,2021,0.82
LUX,2014,1.38
LUX,2015,1.44
LUX,2016,1.42
LUX,2017,1.33
LUX,2018,1.36
LUX,2019,1.35
LUX,2020,1.23
LUX,2021,1.21
MDG,2014,-0.56
MDG,2015,-0.43
MDG,2016,-0.29
MDG,2017,-0.3
MDG,2018,-0.58
MDG,2019,-0.32
MDG,2020,-0.53
MDG,2021,-0.64
MWI,2014,0.08
MWI,2015,0.03
MWI,2016,-0.11
MWI,2017,-0.25
MWI,2018,-0.43
MWI,2019,-0.28
MWI,2020,-0.11
MWI,2021,-0.11
MYS,2014,0.27
MYS,2015,0.26
MYS,2016,0.14
MYS,2017,0.12
MYS,2018,0.25
MYS,2019,0.14
