NAME,TIME,DISTANCE
BHR,2021,4757138.81084646
ATG,2021,6881597.59397154
URY,2021,11191906.8098848
TGO,2021,4963914.62926451
TUN,2021,1627264.1837345
ARE,2021,5158218.87107916
TKM,2021,4427307.01619166
ZMB,2021,7701673.19102321
ZWE,2021,8040798.32799701
TLS,2021,12907658.5786806
VUT,2021,16068688.2330773
HND,2021,8913351.88547528
GUY,2021,7513055.23487352
ISL,2021,2134020.25935711
HTI,2021,7500842.21914513
UGA,2021,6201034.88993771
SUR,2021,7398864.27716641
NER,2021,4143527.56276958
TJK,2021,5112867.04172797
PRY,2021,10386742.5377131
NIC,2021,9012855.84149194
SLE,2021,4967961.86979296
PAK,2021,5755330.58123904
NPL,2021,7059572.74069664
ZAF,2021,9114845.2387923
ZAF,2021,8797889.8750031
PNG,2021,14304696.6563222
SLB,2021,14902450.4130928
PAN,2021,8810654.83964328
MAR,2021,2075746.45888378
MDA,2021,1838029.15159367
MOZ,2021,8948038.95437669
SOM,2021,6631362.44572051
OMN,2021,5504893.97984964
LKA,2021,8397920.78878694
MNG,2021,6814871.80067105
NAM,2021,8226771.64152894
NGA,2021,4641579.21651696
GNB,2021,4686336.63414894
JOR,2021,3330485.75517887
KGZ,2021,5224007.34849487
LSO,2021,9165863.47394746
MDG,2021,8803579.29249413
ECU,2021,9522853.954921
CRI,2021,9048605.72623559
SLV,2021,9085482.97256219
JAM,2021,7859037.45880905
TCD,2021,4403194.32082641
GNQ,2021,5235732.32180448
ERI,2021,5006793.25414638
MWI,2021,7731102.32421225
GTM,2021,9097448.37215555
GAB,2021,5612135.11468035
FJI,2021,16338868.742302
MRT,2021,4054181.72141903
MLI,2021,4379998.1769232
LBN,2021,3146962.71004505
GEO,2021,3231990.6387812
KAZ,2021,4539600.4606253
LAO,2021,9042973.55042227
COG,2021,6193798.82874145
GIN,2021,4868779.99343206
CIV,2021,4960438.73317832
CAN,2021,5690557.45715581
SRB,2021,1376614.87893859
BRN,2021,11009540.4917779
BOL,2021,10277319.3424962
BLZ,2021,8753220.48246454
CAF,2021,5319679.76090142
CMR,2021,5249245.18823124
ALB,2021,1591669.05099106
ARM,2021,3306842.51614599
AZE,2021,3669739.31320715
KHM,2021,9752045.27698672
BOL,2021,10235782.4280281
BEN,2021,4933397.61281998
BLR,2021,1611055.69159271
BTN,2021,7375321.55570505
BWA,2021,8625944.75008527
AUS,2021,16714129.139192
BFA,2021,4298603.87899921
BIH,2021,1311963.81681785
MMR,2021,8451208.92041675
TON,2021,16708354.6168775
SOM,2021,5840433.06908975
SYC,2021,7834533.66098228
STP,2021,5601041.90677498
WSM,2021,15885391.182995
MDV,2021,8196133.6626235
ISR,2021,3299618.94558762
CPV,2021,4702151.17170244
BHS,2021,7318463.91576034
NZL,2021,18718433.1494219
VNM,2021,8994270.28242011
TUR,2021,2519559.5878406
YEM,2021,5304284.46168348
SYR,2021,3227431.479877
SDN,2021,4652241.7950681
NOR,2021,1088776.24327453
PRK,2021,8535960.75035763
TZA,2021,7211891.80678046
LBR,2021,5131537.13762644
MYS,2021,10256037.5638773
CUB,2021,7823081.29996835
KWT,2021,4328048.14844455
DOM,2021,7337187.3227442
GHA,2021,5037692.01800207
LBY,2021,2120354.04408503
CIV,2021,5104826.82280221
BRA,2021,8957315.01005131
BGD,2021,7731868.61490007
AGO,2021,6666629.08005391
DZA,2021,1566666.2330281
MMR,2021,8705822.05336082
VEN,2021,7794058.24514218
UKR,2021,1843195.41480565
UZB,2021,4966240.27317477
THA,2021,9262590.91987867
PER,2021,10441056.649642
SEN,2021,4459743.33441958
ZAF,2021,8842227.21118599
KOR,2021,8730563.59669894
PHL,2021,10522476.5695618
COD,2021,6202005.91445946
IND,2021,6426974.12217447
IRQ,2021,3776373.25455577
ETH,2021,5603418.43301099
IRN,2021,4092810.19370584
ARG,2021,11281912.1087782
AFG,2021,5422951.00160944
TWN,2021,9603595.15469765
USA,2021,6230189.82264779
GBR,2021,319908.04775968
SAU,2021,4634932.39807306
RUS,2021,2261862.40448956
MEX,2021,9258834.26751577
CHN,2021,7984825.96814558
KEN,2021,6543934.78251629
IDN,2021,11415821.6770929
COL,2021,8800233.2752244
