NAME,TIME,WATER
RWA,2015,57.1
RWA,2016,57.9
RWA,2017,58.7
RWA,2018,59.6
RWA,2019,60.4
RWA,2020,60.4
KNA,2014,98.6
KNA,2015,98.6
KNA,2016,98.6
KNA,2017,98.6
LCA,2014,95.1
LCA,2015,95.6
LCA,2016,96
LCA,2017,96.4
LCA,2018,96.9
LCA,2019,96.9
LCA,2020,96.9
VCT,2014,95.1
VCT,2015,95.1
VCT,2016,95.1
VCT,2017,95.1
VCT,2018,95.1
WSM,2014,91.1
WSM,2015,91.3
WSM,2016,91.5
WSM,2017,91.7
WSM,2018,91.8
WSM,2019,91.8
WSM,2020,91.8
STP,2014,76.6
STP,2015,77.1
STP,2016,77.6
STP,2017,78.1
STP,2018,78.2
STP,2019,78.2
STP,2020,78.2
SAU,2014,99
SAU,2015,99
SAU,2016,99
SAU,2017,99
SAU,2018,99
SAU,2019,99
SAU,2020,99
SEN,2014,77.3
SEN,2015,78.6
SEN,2016,79.9
SEN,2017,81.1
SEN,2018,82.4
SEN,2019,83.7
SEN,2020,84.9
SRB,2014,93
SRB,2015,93.4
SRB,2016,93.8
SRB,2017,94.1
SRB,2018,94.5
SRB,2019,94.9
SRB,2020,95.3
SYC,2014,96.2
SYC,2015,96.3
SYC,2016,96.3
SYC,2017,96.3
SYC,2018,96.3
SYC,2019,96.9
SLE,2014,56.7
SLE,2015,57.8
SLE,2016,59
SLE,2017,60.2
SLE,2018,61.4
SLE,2019,62.6
SLE,2020,63.8
SGP,2014,99
SGP,2015,99
SGP,2016,99
SGP,2017,99
SGP,2018,99
SGP,2019,99
SGP,2020,99
SVK,2014,99
SVK,2015,99
SVK,2016,99
SVK,2017,99
SVK,2018,99
SVK,2019,99
SVK,2020,99
SVN,2014,99
SVN,2015,99
SVN,2016,99
SVN,2017,99
SVN,2018,99
SVN,2019,99
SVN,2020,99
SLB,2014,70.1
SLB,2015,69.3
SLB,2016,68.5
SLB,2017,67.8
SLB,2018,67
SLB,2019,67.2
SLB,2020,67.3
SOM,2014,47.1
SOM,2015,48.7
SOM,2016,50.3
SOM,2017,51.8
SOM,2018,53.4
SOM,2019,54.9
SOM,2020,56.5
ZAF,2014,91.4
