NAME,TIME,RISK
COL,2014,5.6
COM,2014,4
CPV,2014,2.6
CRI,2014,3
CUB,2014,2.4
CZE,2014,1.7
DEU,2014,1.8
DJI,2014,5
DOM,2014,3.8
DZA,2014,4.4
ECU,2014,4.1
EGY,2014,5.4
ETH,2014,6.5
FIN,2014,0.9
FJI,2014,2.9
FRA,2014,2.2
FSM,2014,4
GBR,2014,1.7
GEO,2014,3.5
GHA,2014,3.8
GNB,2014,4.3
GRC,2014,2.7
GRD,2014,2
GTM,2014,5.2
HND,2014,4.3
HRV,2014,2.1
HTI,2014,6.1
HUN,2014,1.8
IDN,2014,4.4
IND,2014,5.7
IRN,2014,4.7
ITA,2014,2.5
JAM,2014,3.3
JOR,2014,4.1
JPN,2014,2.1
KAZ,2014,2
KEN,2014,6.4
KGZ,2014,3.3
KHM,2014,4.7
KNA,2014,2.2
KOR,2014,1.8
LAO,2014,4.3
LBN,2014,5.3
LCA,2014,2.4
LKA,2014,3.9
LSO,2014,4
MAR,2014,3.6
MDA,2014,2.9
MDG,2014,5.1
MDV,2014,2.9
MEX,2014,4.8
MHL,2014,4.4
MKD,2014,2.5
MLI,2014,7.5
MMR,2014,6.9
MNE,2014,2.9
MNG,2014,2.7
MOZ,2014,5.6
MRT,2014,5.3
MUS,2014,2.2
MWI,2014,4.8
MYS,2014,3.1
NAM,2014,4.2
NER,2014,5.3
NGA,2014,6.7
NIC,2014,4.2
NLD,2014,1.4
NOR,2014,1
NPL,2014,4.9
NRU,2014,3.4
NZL,2014,1.7
PAK,2014,6.8
PAN,2014,3.6
PER,2014,4.4
PHL,2014,5.9
PLW,2014,2.7
PNG,2014,5.5
POL,2014,1.8
PRT,2014,1.7
PRY,2014,2.9
PSE,2014,5
ROU,2014,2.4
RWA,2014,4.7
SDN,2014,7.2
SEN,2014,4.4
SGP,2014,0.7
SLB,2014,4.6
SLE,2014,4.6
SLV,2014,3.8
SRB,2014,3.3
SVN,2014,1.2
SWE,2014,1.2
SWZ,2014,3.5
SYC,2014,2.3
SYR,2014,6.9
TGO,2014,4.1
THA,2014,4.4
TJK,2014,4.1
TLS,2014,4.2
TON,2014,3.6
TTO,2014,2.1
TUN,2014,3.7
TUR,2014,4.5
TZA,2014,5
URY,2014,1.6
USA,2014,3.2
UZB,2014,3.2
VEN,2014,4.5
VNM,2014,3.7
VUT,2014,4.1
WSM,2014,3.3
YEM,2014,7.5
ZMB,2014,4.2
ALB,2014,3.2
ARE,2014,1.9
AUT,2014,1.6
AZE,2014,4.5
BEL,2014,1.4
BEN,2014,3.8
BHS,2014,2.2
BIH,2014,3.5
CAF,2014,8.6
CMR,2014,5.3
COD,2014,7.7
COG,2014,4.8
CYP,2014,2.8
DMA,2014,3.1
DNK,2014,0.9
ERI,2014,4.5
ESP,2014,1.9
EST,2014,1
GAB,2014,3.3
GIN,2014,5
GMB,2014,4.2
GNQ,2014,3.9
GUY,2014,3.4
IRL,2014,1.5
IRQ,2014,7.1
ISL,2014,1.2
ISR,2014,2.4
KWT,2014,1.8
LBR,2014,5
LBY,2014,5.1
LTU,2014,1.3
LUX,2014,0.9
LVA,2014,1.6
MLT,2014,1.8
OMN,2014,2.6
PRK,2014,5.3
QAT,2014,1.5
RUS,2014,4
SAU,2014,2
SOM,2014,8.9
SSD,2014,7.8
STP,2014,2.7
SUR,2014,3
SVK,2014,1.7
TCD,2014,6.5
TKM,2014,2.9
UGA,2014,6.7
UKR,2014,2.9
VCT,2014,2.1
ZAF,2014,4.1
ZWE,2014,4.9
BLZ,2014,3.6
KIR,2014,4.1
LIE,2014,1.1
TUV,2014,3.4
AFG,2016,8
AGO,2016,4.9
ARE,2016,1.6
ARG,2016,2.3
ARM,2016,3.2
ATG,2016,2.3
AUS,2016,2.2
AUT,2016,1.7
BDI,2016,6.5
BEN,2016,3.7
BFA,2016,4.5
BGD,2016,5.8
BGR,2016,2.5
BHR,2016,1.4
BLR,2016,1.5
BOL,2016,3.6
BRA,2016,3.8
BRB,2016,1.9
BRN,2016,1.6
BTN,2016,3.3
BWA,2016,3
CAN,2016,2.3
CHE,2016,1.4
CHL,2016,2.8
CHN,2016,3.9
CIV,2016,4.8
CMR,2016,6.4
COD,2016,7.2
COL,2016,5.4
COM,2016,3.8
CPV,2016,2.4
CRI,2016,2.9
CUB,2016,2.3
CZE,2016,1.3
DEU,2016,1.9
DJI,2016,4.9
DNK,2016,1.1
DOM,2016,3.6
DZA,2016,4.1
ECU,2016,4.2
EGY,2016,4.8
ESP,2016,1.8
ETH,2016,6.6
FIN,2016,0.9
FJI,2016,2.7
FRA,2016,2.4
FSM,2016,4.3
GAB,2016,3.2
GBR,2016,1.6
GEO,2016,3.4
GHA,2016,3.8
GIN,2016,4.6
GMB,2016,3.6
GNB,2016,4.2
GRC,2016,2.6
GRD,2016,1.8
GTM,2016,5.1
HND,2016,4.9
HRV,2016,2.1
HTI,2016,5.9
HUN,2016,2.1
IDN,2016,4.2
IND,2016,5.5
IRN,2016,4.8
IRQ,2016,7
ITA,2016,2.5
JAM,2016,3.2
JOR,2016,4.2
JPN,2016,2.2
KAZ,2016,1.8
KEN,2016,6.2
KGZ,2016,3.2
KHM,2016,4.5
KNA,2016,1.9
